,Stopwords?,References Preserved?,Training Algorithm,Ngrams?,Dimensions,Window,Minimum Count Threshold,Number of Training Epochs,Pearson Correlation Coefficient,Pearson Correlation Coefficient P-Value,Spearman Correlation Coefficient,Spearman Correlation Coefficient P-Value,Unknown Word Pairs,Overall Analogy Accuracy (%)
113,True,True,Word2Vec,True,32,2,20,2,0.27730721073880904,0.28121687101071446,0.36342161449915145,0.15160960895351755,0.0,0.0
114,False,True,FastText,True,256,8,20,8,0.25564865879414683,0.3219955874360729,0.3152126248206926,0.21780742039202328,0.0,0.0
115,False,False,FastText,True,64,20,5,5,0.2562224697465383,0.32087285057114345,0.2571146116184473,0.31913181426004944,0.0,0.0
116,True,False,FastText,True,32,2,5,2,0.45558353396639706,0.06609469296347861,0.32757390422542565,0.19931245314233148,0.0,0.0
117,True,True,FastText,True,32,8,20,8,0.439421285249884,0.07759110378725438,0.312740368939746,0.22163451653898986,0.0,0.0
118,True,True,Word2Vec,True,32,2,5,2,0.31837781293812206,0.2129701284247539,0.34858807921347185,0.17029351877760016,0.0,0.0
119,True,False,Word2Vec,True,256,8,20,2,0.4533154154419103,0.06762715556019291,0.4660202335584357,0.059371309894850385,0.0,0.0
120,True,True,FastText,True,256,2,5,2,0.3990962611858125,0.11252431484154861,0.36712999832057136,0.1471666177374228,0.0,0.0
121,False,True,FastText,True,64,8,5,20,0.32263303666531995,0.20657724763510263,0.3077958571778528,0.2294173974746495,0.0,0.0
122,True,False,FastText,True,128,20,20,5,0.30837915670645727,0.22849031957558377,0.29172619395169985,0.2559011137464907,0.0,0.0
123,False,False,Word2Vec,True,32,2,5,2,0.20177478145349254,0.43738918907910956,0.2806010424874401,0.27530438526693324,0.0,0.0
124,False,False,Word2Vec,True,64,8,20,5,0.33897031345981615,0.18319962039304613,0.3300461601063723,0.19574094992634922,0.0,5.0
125,True,True,FastText,True,32,8,20,2,0.4830482776881202,0.04951064580665346,0.32757390422542565,0.19931245314233148,0.0,0.0
126,False,False,Word2Vec,True,256,20,10,5,0.39165465484084616,0.12001609527310865,0.38319966154672436,0.12894454888851256,0.0,4.761904761904762
127,True,True,Word2Vec,True,32,8,20,8,0.2609429660886967,0.31172375198615615,0.23857269251134774,0.3564505801060388,0.0,0.0
128,False,False,Word2Vec,True,256,8,20,5,0.37545954818292815,0.13751400289615656,0.3943248130109841,0.11728882951144101,0.0,10.0
129,False,True,FastText,True,256,20,50,20,0.19918170279358094,0.5141527644930571,0.229082455087183,0.4515447225054908,23.52941176470588,6.25
130,False,True,Word2Vec,True,256,20,5,20,0.4463084075297247,0.0725267464445176,0.4252280115228167,0.0888331197971482,0.0,9.523809523809524
131,False,False,FastText,True,64,8,5,5,0.3050423975588627,0.23382598449489553,0.24228107633276766,0.3487972357694308,0.0,0.0
132,True,False,FastText,True,256,8,50,20,0.2520661595270487,0.40608426214493193,0.2151140127038182,0.48032169937175884,23.52941176470588,0.0
133,False,True,Word2Vec,True,64,8,20,5,0.44999110314356333,0.06992028505016364,0.4215196277013968,0.09195437754906699,0.0,0.0
134,True,False,FastText,True,256,2,20,8,0.21787001984783824,0.4008869149788061,0.27442040278507357,0.28646168628848345,0.0,0.0
135,False,False,FastText,True,256,8,5,8,0.2440487457497461,0.34518231647668846,0.35229646303489176,0.16548458262047802,0.0,0.0
136,True,False,FastText,True,128,8,20,5,0.35320034583049603,0.1643264692721572,0.29172619395169985,0.2559011137464907,0.0,0.0
137,False,False,Word2Vec,True,64,20,10,20,0.4281614261376632,0.08641882502647188,0.4684924894393824,0.05785597790244288,0.0,0.0
138,True,False,FastText,True,256,2,5,2,0.3714155613503258,0.14214412376733893,0.35847710273725825,0.15767463322576775,0.0,0.0
139,False,False,FastText,True,128,20,10,5,0.2597300424456591,0.31405974062864095,0.3349906718682655,0.18872462207682716,0.0,0.0
140,False,True,FastText,True,64,20,50,20,0.28465236890510104,0.34587559645339017,0.18717712793708854,0.54032138380796,23.52941176470588,12.5
141,True,False,Word2Vec,True,256,8,5,5,0.3308437552508636,0.19459773964142446,0.3090319851183261,0.2274555720392051,0.0,14.285714285714285
142,True,True,FastText,True,32,8,5,2,0.47961872718848214,0.051390027960655636,0.3424074395111053,0.17851505507444027,0.0,0.0
143,True,False,Word2Vec,True,128,8,50,20,0.30421573092225823,0.312226061174418,0.4078785175942527,0.16650827015934988,23.52941176470588,25.0
144,True,False,Word2Vec,True,256,8,5,8,0.3447096853901072,0.1754222896420974,0.26700363514223374,0.30020577343604743,0.0,4.761904761904762
145,False,False,Word2Vec,True,128,20,50,20,0.4278520708517602,0.14471934536662126,0.41905327150094457,0.1540736620541603,23.52941176470588,0.0
146,False,True,FastText,True,256,8,20,5,0.29042140425016055,0.2581315095043375,0.32386552040400574,0.20474918256399632,0.0,0.0
147,True,False,Word2Vec,True,256,20,20,20,0.46953939037056075,0.05722304013156404,0.45489508209417595,0.06655711423336363,0.0,10.0
148,False,True,FastText,True,64,20,20,5,0.27683136090365373,0.2820773595456294,0.3424074395111053,0.17851505507444027,0.0,0.0
149,False,True,Word2Vec,True,128,20,20,5,0.3936117254778656,0.11801286425650549,0.4066860924157171,0.10522962591810442,0.0,0.0
150,True,True,FastText,True,64,8,20,5,0.39592707143905803,0.11567337209882153,0.32139326452305916,0.20842679544350706,0.0,0.0
151,True,True,Word2Vec,True,32,2,20,8,0.12057341776968893,0.6448286369749394,0.12484892198780374,0.6330551346982362,0.0,0.0
152,True,False,FastText,True,32,8,5,8,0.4433892282440347,0.0746428490803187,0.30037908953501297,0.2414142723912359,0.0,0.0
153,False,False,FastText,True,32,8,20,8,0.3231212495946777,0.20585184773547413,0.20890562193998843,0.4210105499998664,0.0,5.0
154,True,False,Word2Vec,True,256,2,5,5,0.21560870138628463,0.4059136850987362,0.23733656457087446,0.3590225874276378,0.0,0.0
155,True,True,FastText,True,256,2,20,8,0.2442960098825961,0.34467836879963204,0.312740368939746,0.22163451653898986,0.0,0.0
156,False,False,Word2Vec,True,128,8,5,5,0.3523240469750089,0.16544915916369854,0.398033196832404,0.11357380217556456,0.0,9.523809523809524
157,False,False,FastText,True,256,2,20,5,0.2680394681298564,0.29826301500945684,0.32139326452305916,0.20842679544350706,0.0,0.0
158,False,True,FastText,True,128,8,20,20,0.30412392797670457,0.23530842713165964,0.35229646303489176,0.16548458262047802,0.0,5.0
159,False,True,Word2Vec,True,256,2,5,5,0.1536711006792537,0.5559576703618618,0.1149598984640173,0.6604082499539958,0.0,0.0
160,False,True,Word2Vec,True,64,20,10,5,0.34721633935994506,0.17209586009899724,0.34487969539205193,0.17519533225678144,0.0,0.0
161,True,True,Word2Vec,True,256,20,20,20,0.47056577920521314,0.05660752024308704,0.42399188358234335,0.08986492074151081,0.0,0.0
162,False,True,FastText,True,64,8,20,5,0.3697670422687195,0.14406196187788334,0.3152126248206926,0.21780742039202328,0.0,0.0
163,False,True,Word2Vec,True,256,8,10,20,0.48467403282670013,0.04863797869214534,0.4808537688441154,0.050707176700955855,0.0,0.0
164,True,True,FastText,True,256,20,5,5,0.2641613330085543,0.3055753534417256,0.32386552040400574,0.20474918256399632,0.0,0.0
165,False,False,Word2Vec,True,256,2,5,8,0.18952309451849203,0.4662792612063645,0.15451599255916304,0.553761249433171,0.0,0.0
166,False,True,FastText,True,128,20,10,5,0.2873731918746234,0.26338898409671885,0.3658938703800981,0.14863758711556335,0.0,0.0
167,True,False,FastText,True,128,20,5,5,0.29531575110358094,0.2498272276487844,0.2991429615945396,0.2434514545873469,0.0,0.0
168,False,True,Word2Vec,True,32,8,20,8,0.34537438301587964,0.17453605785617526,0.2496978439756075,0.333774118907858,0.0,0.0
169,True,False,FastText,True,64,8,50,20,0.3413773124214487,0.2536416483061119,0.2151140127038182,0.48032169937175884,23.52941176470588,12.5
170,True,False,Word2Vec,True,32,8,20,2,0.38490781427300624,0.12710461272032025,0.39926932477287724,0.11235411160740566,0.0,0.0
171,True,True,Word2Vec,True,128,8,5,5,0.3258286799620035,0.20185916812251672,0.2657675072017604,0.3025340574823844,0.0,14.285714285714285
172,False,True,Word2Vec,True,128,20,10,5,0.3410845448612896,0.180308520780775,0.35847710273725825,0.15767463322576775,0.0,4.761904761904762
173,False,True,Word2Vec,True,64,20,5,20,0.4100693170077975,0.10208874571420065,0.38814417330861756,0.12366888009268796,0.0,0.0
174,False,True,Word2Vec,True,256,8,5,5,0.299046785104598,0.2436104089279834,0.34735195127299856,0.17191711157059128,0.0,0.0
175,False,True,FastText,True,256,20,5,5,0.2732186403959669,0.28866239420965684,0.3720745100824646,0.14138245680173503,0.0,0.0
176,True,True,FastText,True,32,8,5,5,0.4606672671760561,0.06275305672474343,0.3300461601063723,0.19574094992634922,0.0,0.0
177,True,True,FastText,True,256,20,20,20,0.2053025748222691,0.42924561327437727,0.34982420715394513,0.1686802459180893,0.0,0.0
178,False,False,Word2Vec,True,256,20,20,5,0.3733002281133846,0.13997315006398242,0.4029777085942972,0.10875056063021406,0.0,10.0
179,False,True,Word2Vec,True,64,20,10,20,0.45522550030944664,0.06633488140558091,0.4499505703322828,0.06994859257576042,0.0,0.0
180,True,False,Word2Vec,True,32,8,5,5,0.3757155429124448,0.13722445362947863,0.30161521747548625,0.23938787026165792,0.0,0.0
181,True,True,Word2Vec,True,64,8,20,5,0.26261875371458726,0.3085132594574788,0.22250302928519478,0.3906934020932482,0.0,10.0
182,False,False,Word2Vec,True,64,8,5,5,0.32296220860518193,0.20608797287075195,0.3300461601063723,0.19574094992634922,0.0,14.285714285714285
183,False,False,FastText,True,32,2,20,2,0.4047770259642066,0.1070319294421142,0.23486430868992783,0.3641978311641618,0.0,0.0
184,False,False,Word2Vec,True,64,20,50,20,0.42971704575967173,0.14278558335500152,0.42743433693096344,0.1451548258224122,23.52941176470588,0.0
185,False,True,Word2Vec,True,256,2,5,8,0.2040006302332072,0.4322417921857043,0.0877650837736046,0.7376637749360994,0.0,0.0
186,True,True,Word2Vec,True,128,20,5,20,0.42657392136999916,0.08771942890910513,0.38814417330861756,0.12366888009268796,0.0,9.523809523809524
187,True,True,FastText,True,256,2,20,5,0.2502733154111467,0.3326243474089234,0.29790683365406634,0.24549942067393601,0.0,0.0
188,False,False,FastText,True,128,8,20,20,0.2979720249161328,0.24539114504186085,0.32386552040400574,0.20474918256399632,0.0,5.0
189,True,False,FastText,True,32,8,5,5,0.44003573429444054,0.07712909187730746,0.29296232189217314,0.25379918563566767,0.0,0.0
190,True,False,FastText,True,32,2,20,5,0.39404341924999664,0.11757416933055442,0.31892100864211254,0.21214701629043492,0.0,0.0
191,True,False,Word2Vec,True,64,20,10,20,0.45957361864620117,0.06346114503188645,0.47096474532032895,0.056369598031231725,0.0,14.285714285714285
192,True,True,Word2Vec,True,32,8,20,5,0.3593995514270599,0.15653085378504605,0.35353259097536505,0.1639021526345442,0.0,0.0
193,True,True,Word2Vec,True,32,8,20,2,0.4642354340207405,0.06048345137564363,0.4561312100346493,0.06572852361858994,0.0,0.0
194,True,False,FastText,True,128,8,10,5,0.3498461683837356,0.168651677461307,0.2991429615945396,0.2434514545873469,0.0,0.0
195,False,False,FastText,True,64,8,50,20,0.3249590394392675,0.2786541103133542,0.18717712793708854,0.54032138380796,23.52941176470588,0.0
196,True,True,Word2Vec,True,256,8,10,5,0.3548991310124714,0.1621646931327792,0.30037908953501297,0.2414142723912359,0.0,0.0
197,False,True,FastText,True,32,8,5,2,0.43513719226430003,0.08086859703901425,0.3102681130587994,0.22550448823276031,0.0,0.0
198,True,False,Word2Vec,True,256,20,50,20,0.3319075401177751,0.2678993834640918,0.3156867978640449,0.29339024923549306,23.52941176470588,31.25
199,True,True,Word2Vec,True,128,8,10,20,0.4311812369029645,0.08398333919920999,0.46725636149890903,0.05861000490468314,0.0,0.0
200,True,False,Word2Vec,True,128,20,20,20,0.44842132126716927,0.07102275895726769,0.442533802689443,0.07527140660912708,0.0,15.0
201,False,False,FastText,True,256,20,50,5,0.2635877362768104,0.38421434267040133,0.24025720899387487,0.42914187218689703,23.52941176470588,0.0
202,True,True,FastText,True,256,20,20,5,0.2690119246195689,0.2964459847559698,0.2991429615945396,0.2434514545873469,0.0,5.0
203,False,True,Word2Vec,True,64,20,50,20,0.41708935452362295,0.15621388148874812,0.3743542558741771,0.20759822697789979,23.52941176470588,0.0
204,True,False,FastText,True,64,20,20,20,0.3149398718131374,0.21822754476864037,0.2768926586660202,0.2819664239709679,0.0,0.0
205,False,False,FastText,True,256,20,20,20,0.1925074014662036,0.4591561491159361,0.35476871891583833,0.16232996349106865,0.0,0.0
206,True,True,FastText,True,128,8,20,5,0.3496672241672838,0.16888455329296695,0.32881003216589894,0.19752141181421173,0.0,0.0
207,False,False,Word2Vec,True,256,8,5,8,0.37611577233549565,0.13677260811144634,0.38072740566577773,0.131640221387647,0.0,4.761904761904762
208,True,True,FastText,True,256,20,5,20,0.21031215878386686,0.41781850309540053,0.38814417330861756,0.12366888009268796,0.0,0.0
209,True,True,Word2Vec,True,128,8,10,5,0.33840585899186215,0.18397665270245972,0.3090319851183261,0.2274555720392051,0.0,9.523809523809524
210,True,True,FastText,True,256,2,5,8,0.22462063634176183,0.386081703960638,0.29790683365406634,0.24549942067393601,0.0,0.0
211,True,False,Word2Vec,True,32,8,5,8,0.29604811626017546,0.2485991736293457,0.24351720427324094,0.34626707182429683,0.0,0.0
212,False,True,Word2Vec,True,256,20,20,20,0.5104193103229457,0.03630445598087115,0.4907427923679018,0.045482188299014306,0.0,15.0
213,False,False,FastText,True,64,8,5,20,0.335679183570361,0.18776097260148478,0.3386990556896854,0.18357276364484984,0.0,0.0
214,False,False,FastText,True,256,8,20,8,0.2755464536864084,0.2844088616555685,0.35724097479678496,0.1592162249095821,0.0,0.0
215,True,True,FastText,True,128,20,5,5,0.29280197908192923,0.25407122520751,0.29172619395169985,0.2559011137464907,0.0,4.761904761904762
216,False,False,FastText,True,128,8,10,5,0.3249594836926052,0.20313542861960684,0.3152126248206926,0.21780742039202328,0.0,0.0
217,False,True,FastText,True,64,20,20,20,0.2949709807855466,0.2504066614076223,0.2855455542493333,0.2665727339410934,0.0,5.0
218,True,True,FastText,True,128,8,20,20,0.34485710637691014,0.17522547649195114,0.34487969539205193,0.17519533225678144,0.0,0.0
219,False,True,Word2Vec,True,64,8,20,20,0.4131886158655929,0.09925258922303028,0.4351170350466031,0.08088425194674034,0.0,0.0
